name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arizona,2023-07-26,47,31.6,41.3,47,32.2,40.7,11.9,18.4,0.03,100,4.17,rain,0,0,68.4,31.1,249.1,1007.2,40.1,15.3,317.3,27.3,9,30,2023-07-26T05:36:40,2023-07-26T19:32:44,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-07-27,45.8,31.7,38.7,45.8,32.7,38.9,14.8,26.7,0.018,100,4.17,rain,0,0,38.1,26.8,252.5,1007.5,47.2,15.9,297.3,25.8,9,30,2023-07-27T05:37:21,2023-07-27T19:32:02,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-07-28,45.9,35.8,40.4,45.9,36.2,40.6,14.6,22.8,0,0,0,,0,0,42.8,26.6,303.3,1007.6,63.9,15.9,295.6,25.5,9,10,2023-07-28T05:38:02,2023-07-28T19:31:18,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-07-29,44.8,34.7,40.3,44.8,34.1,39.9,13.3,20.9,0,0,0,,0,0,31.7,17.8,254.5,1008.3,70.5,16,295.2,25.6,9,10,2023-07-29T05:38:44,2023-07-29T19:30:32,0.4,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-07-30,43.6,34.1,39.3,43.6,34.2,39.3,14.2,23.5,0,0,0,,0,0,55.9,31.5,276.9,1007.9,73.1,16,257.8,22.3,9,30,2023-07-30T05:39:25,2023-07-30T19:29:46,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-07-31,41.4,28.2,35,42.6,29.7,35.8,16.7,36.4,0.018,100,4.17,rain,0,0,59.6,23.5,174.5,1010.5,48.1,16,306.7,26.7,9,30,2023-07-31T05:40:07,2023-07-31T19:28:58,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-01,42.4,29.9,36.1,42.8,30.6,36.2,15.3,31.2,0,0,0,,0,0,55.1,25.7,148,1010.9,37.2,16,296.6,25.5,9,10,2023-08-01T05:40:49,2023-08-01T19:28:08,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-02,43.1,33.6,38.3,42.2,33.1,37.8,13.5,23.5,0,0,0,,0,0,40,25,254.3,1009.2,56,15.8,296.6,25.5,9,10,2023-08-02T05:41:31,2023-08-02T19:27:18,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-03,43.1,33.5,38.6,41.2,32.5,37.1,10.5,20,0,0,0,,0,0,38.9,19.3,288.3,1008.3,20.6,16,315,27.2,9,10,2023-08-03T05:42:13,2023-08-03T19:26:26,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-04,44.8,30.8,38.3,44.8,29.1,36.4,5.5,14.6,0,0,0,,0,0,29.5,11.9,344.5,1006.6,9.6,16,322.4,27.7,10,10,2023-08-04T05:42:55,2023-08-04T19:25:33,0.6,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-05,46.3,32.7,39.5,46.3,30.8,37.6,2.5,11.4,0,0,0,,0,0,38.8,25,271.1,1006.8,5.7,16,320.9,27.5,10,10,2023-08-05T05:43:37,2023-08-05T19:24:38,0.64,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-06,44.1,32,38.8,45.1,29.8,38,9.3,17.5,0,0,0,,0,0,38.4,26.8,277.5,1009.2,36.3,16,296.6,25.4,9,30,2023-08-06T05:44:20,2023-08-06T19:23:43,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-07,43.5,32.7,38.5,43.5,35,39.7,16.7,29.5,0,0,0,,0,0,40.4,27.8,272.1,1010.4,35.1,16,305.5,26.3,9,15,2023-08-07T05:45:02,2023-08-07T19:22:46,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-08,42.9,29.1,37,44.5,30.7,37.7,16.2,30.7,0.167,100,8.33,rain,0,0,49.6,26.9,231.4,1009.5,57.7,16,289.3,25.1,9,30,2023-08-08T05:45:44,2023-08-08T19:21:48,0.75,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-09,42.5,32,37,43.2,32.1,37.4,15.8,29.8,0,0,0,,0,0,41.6,28.1,226.4,1007.3,51.9,16,298.2,25.8,9,30,2023-08-09T05:46:26,2023-08-09T19:20:48,0.77,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-10,40.9,32.6,37.3,40.7,32.1,37,14.2,25.9,0,0,0,,0,0,38.9,26.9,241.8,1007.6,63.9,16,251.6,21.7,9,10,2023-08-10T05:47:09,2023-08-10T19:19:48,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
Arizona,2023-08-11,40.4,31.5,36,40.6,30.8,35.5,13.9,27.1,0,0,0,,0,0,38.2,22.9,164.1,1008.9,60.3,16,262.5,22.6,9,10,2023-08-11T05:47:51,2023-08-11T19:18:47,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,AZM15,KPHX"
