"","name","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","dew","humidity","precip","precipprob","precipcover","preciptype","snow","snowdepth","windgust","windspeed","winddir","sealevelpressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","sunrise","sunset","moonphase","conditions","description","icon","stations","year","month","sunrise_time","sunset_time"
"1","Arizona",1990-01-01,19.3,5.5,11.8,19.3,4.9,11.4,-2,40.7,0,0,0,NA,NA,NA,NA,16.3,115.6,1019,9.5,67.4,NA,NA,NA,NA,1990-01-01 07:32:34,1990-01-01 17:31:28,0.17,"Clear","Clear conditions throughout the day.","clear-day","7.22780231837228e+21",1990,1,27154,63088
"2","Arizona",1990-01-02,18.2,6.2,10,18.2,3.1,8.3,0.2,53.9,4.121,100,20.83,"rain",NA,NA,NA,23,137.2,1012.5,71.8,48.6,NA,NA,NA,NA,1990-01-02 07:32:46,1990-01-02 17:32:14,0.2,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","rain","7.22780231837228e+21",1990,1,27166,63134
"3","Arizona",1990-01-03,12.1,6.2,8.7,12.1,3.1,7.4,1.8,65,0.772,100,12.5,"rain",NA,NA,NA,19.9,259.2,1019.4,52.9,46.3,NA,NA,NA,NA,1990-01-03 07:32:55,1990-01-03 17:33:00,0.24,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","rain","7.22780231837228e+21",1990,1,27175,63180
"4","Arizona",1990-01-04,14.3,2.2,7.6,14.3,-0.4,6.7,-2,54.9,0,0,0,NA,NA,NA,NA,11.6,269.6,1022.8,9.5,54.6,NA,NA,NA,NA,1990-01-04 07:33:03,1990-01-04 17:33:48,0.25,"Clear","Clear conditions throughout the day.","clear-day","7.22780231837228e+21",1990,1,27183,63228
"5","Arizona",1990-01-05,16.3,2.2,9.2,16.3,1.2,8.7,-6.5,35.9,0,0,0,NA,NA,NA,NA,22,301,1021.3,0.8,53.5,NA,NA,NA,NA,1990-01-05 07:33:09,1990-01-05 17:34:36,0.31,"Clear","Clear conditions throughout the day.","clear-day","7.22780231837228e+21",1990,1,27189,63276
"6","Arizona",1990-01-06,17.8,4.4,11.1,17.8,3.1,10.8,-6.6,30.6,0,0,0,NA,NA,NA,NA,13.4,292.1,1024.6,0.9,65.3,NA,NA,NA,NA,1990-01-06 07:33:13,1990-01-06 17:35:25,0.34,"Clear","Clear conditions throughout the day.","clear-day","7.22780231837228e+21",1990,1,27193,63325
"7","Arizona",1990-01-07,16.6,3.7,9.7,16.6,0.6,8.8,-3.6,41.5,0,0,0,NA,NA,NA,NA,13.9,102.4,1024.7,32,64.8,NA,NA,NA,NA,1990-01-07 07:33:15,1990-01-07 17:36:16,0.38,"Partially cloudy","Becoming cloudy in the afternoon.","partly-cloudy-day","7.22780231837228e+21",1990,1,27195,63376
"8","Arizona",1990-01-08,19.3,4.3,11.3,19.3,1.7,10.3,-1.7,43.7,0,0,0,NA,NA,NA,NA,14.4,96.8,1020.8,30.7,45.6,NA,NA,NA,NA,1990-01-08 07:33:16,1990-01-08 17:37:07,0.41,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","7.22780231837228e+21",1990,1,27196,63427
"9","Arizona",1990-01-09,22.9,7,14,22.9,5.6,13.3,1.6,45.7,0,0,0,NA,NA,NA,NA,14.1,100.4,1020.7,27,33,NA,NA,NA,NA,1990-01-09 07:33:14,1990-01-09 17:37:59,0.45,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","7.22780231837228e+21",1990,1,27194,63479
"10","Arizona",1990-01-10,28.2,8.7,17.3,26.8,7,16.8,2.6,42.2,0,0,0,NA,NA,NA,NA,13.9,79.1,1019.8,0,44.2,NA,NA,NA,NA,1990-01-10 07:33:11,1990-01-10 17:38:51,0.5,"Clear","Clear conditions throughout the day.","clear-day","7.22780231837228e+21",1990,1,27191,63531
